sample	reads_with_corrected_index_err	reads_with_no_index_err	reads_thrown_out	fraction_of_index_accepted
CH65_a_1_1	23722	756135	236016	0.767671746369871
CH65_a_1_2	576161	10156981	481133	0.9570963793914452
CH65_a_1_3	718760	14046127	634211	0.9588150552714192
CH65_a_1_4	574904	10676880	535794	0.9545458787208024
CH65_a_2_1	79673	746373	545155	0.6024251732605213
CH65_a_2_2	737845	14479018	480102	0.9694143421992722
CH65_a_2_3	668720	14935895	557783	0.9654888463951946
CH65_a_2_4	569466	11452014	428805	0.9655586197424396
CH65_a_3_1	24914	263272	470288	0.3799550149378884
CH65_a_3_2	563815	10162447	232648	0.9787708814106512
CH65_a_3_3	533921	10445427	252216	0.9775440001054172
CH65_a_3_4	794250	12703164	331907	0.9759997616658114
CH65_a_4_1	50426	451927	560872	0.4724804251216817
CH65_a_4_2	411667	6329604	153322	0.9777619940727466
CH65_a_4_3	518979	11082122	221095	0.9812983137819742
CH65_a_4_4	618511	13793383	267452	0.9817803872188856
CH65_a_5_1	21571	575375	333479	0.6415842222640191
CH65_a_5_2	663236	13182514	631742	0.956363850865882
CH65_a_5_3	630760	12560240	511596	0.9626643009835508
CH65_a_5_4	667907	12064182	626039	0.9531342265922292
CH65_a_6_1	156014	1519498	1203031	0.582069470562017
CH65_a_6_2	717365	12998199	1299812	0.9134346019706732
CH65_a_6_3	602149	13493180	266627	0.981435188911594
CH65_a_6_4	625457	13187969	297455	0.9789201680603784
CH65_a_7_1	329993	7244650	274150	0.9650710625187848
CH65_a_7_2	601399	9185879	642968	0.9383554328440576
CH65_a_7_3	747177	12387173	966866	0.9314338564844336
CH65_a_7_4	698414	11464563	593633	0.9534646743923346
CH65_a_8_1	1804982	15765828	576364	0.9682394625190676
CH65_a_8_2	481163	7857735	704342	0.9221139768490054
CH65_a_8_3	476864	9525250	625327	0.9411592122694448
CH65_a_8_4	376017	6491790	553768	0.9253840323650976
CH65_a_9_1	937875	13402936	471252	0.9681845803653414
CH65_a_9_2	97844	1409787	294931	0.836382326932444
CH65_a_9_3	154105	2320155	369206	0.870156351438702
CH65_a_9_4	138870	2017077	399320	0.8437267025324555
CH65_a_0_1	2029001	17030592	531072	0.9728915787187418
CH65_a_0_2	19354	218315	167300	0.5868819588659873
CH65_a_0_3	64015	895716	300454	0.7615794506362161
CH65_a_0_4	43601	669243	357736	0.6658484186142091
CH65_a_F_1	452968	11034115	289818	0.9753909793416792
CH65_a_F_2	668971	10789094	595562	0.9505906396473028
CH65_a_F_3	597340	9625687	685333	0.937173598964464
CH65_a_F_4	543119	8087987	686607	0.9263116389182624
CH65_a_unsorted	3721284	32797685	1025342	0.9726898171070444
CH65_b_1_1	30156	589165	52755	0.9215044131913652
CH65_b_1_2	327507	3929492	242893	0.9460224823173534
CH65_b_1_3	431949	5245642	240665	0.9593351487330052
CH65_b_1_4	349128	3999394	137033	0.9694501572269206
CH65_b_2_1	39890	414612	168298	0.729771997430957
CH65_b_2_2	354363	3998151	367671	0.9221066547179824
CH65_b_2_3	289288	4092847	159139	0.9649571904271796
CH65_b_2_4	304884	4116619	72657	0.9838330188511312
CH65_b_3_1	8149	88409	71368	0.5750032752521944
CH65_b_3_2	273618	3611475	238229	0.9422240125801478
CH65_b_3_3	296790	4156472	54327	0.9879476589369616
CH65_b_3_4	302419	3863622	51710	0.9877399116258878
CH65_b_4_1	13638	103152	71218	0.6211969703416876
CH65_b_4_2	177867	1655507	58306	0.9691776621838788
CH65_b_4_3	321205	4400314	110677	0.977095920778048
CH65_b_4_4	294552	4341332	102230	0.9784239045324784
CH65_b_5_1	15012	209955	72179	0.7570924730603811
CH65_b_5_2	373604	4137912	377628	0.922761939513338
CH65_b_5_3	377752	4439799	79894	0.9836865957657512
CH65_b_5_4	358949	3933360	90915	0.9792584180046467
CH65_b_6_1	68761	529897	303495	0.6635881053435504
CH65_b_6_2	380336	4386875	150435	0.9694091441311554
CH65_b_6_3	291673	3820524	63169	0.9848710268752487
CH65_b_6_4	354596	4345030	77583	0.9837597643310142
CH65_b_7_1	144525	2630679	94829	0.9669589165002632
CH65_b_7_2	226728	3203803	472652	0.8789060108122012
CH65_b_7_3	306877	3903806	429257	0.9074865192222312
CH65_b_7_4	300870	3977026	265131	0.9416400122649502
CH65_b_8_1	648539	5624850	312644	0.9525292387693776
CH65_b_8_2	190373	2255205	722645	0.7719084168002063
CH65_b_8_3	169453	2752894	320334	0.901213224489242
CH65_b_8_4	138665	2168511	87896	0.9633013120273628
CH65_b_9_1	543019	7013445	96044	0.9874493434048028
CH65_b_9_2	51000	591767	290696	0.6885832646821567
CH65_b_9_3	39312	630440	77580	0.8961907157729095
CH65_b_9_4	44530	598640	89240	0.8781556778307232
CH65_b_0_1	935382	8228133	95642	0.9896705499215532
CH65_b_0_2	18150	176859	141535	0.5794457782637634
CH65_b_0_3	26970	386671	130773	0.7597912617970882
CH65_b_0_4	22242	305798	143718	0.6953565175365336
CH65_b_F_1	166781	3672579	117927	0.9702000385617724
CH65_b_F_2	223739	3430910	592335	0.8605280829878332
CH65_b_F_3	189267	2666054	119692	0.9597675707635565
CH65_b_F_4	371165	5201316	179612	0.96877449651805
CH65_b_unsorted	1599629	14285648	510346	0.9688730339798616
CH65_d_1_1	165214	2457819	206041	0.9271701623923588
CH65_d_1_2	311502	5819924	109221	0.9824984492793776
CH65_d_1_3	352308	6439182	117965	0.9829270181222688
CH65_d_1_4	422920	7180491	187619	0.9759185884279742
CH65_d_2_1	489370	7320148	529108	0.9365473400533852
CH65_d_2_2	296950	4215407	468386	0.9059606167192324
CH65_d_2_3	327068	4339439	342613	0.93160215766442
CH65_d_2_4	422232	3287417	320957	0.920370038649275
CH65_d_3_1	912502	12938188	793762	0.9457977669632158
CH65_d_3_2	162353	2559725	473769	0.8517547930173128
CH65_d_3_3	149859	2331857	146669	0.9441980531771412
CH65_d_3_4	113438	1381077	113026	0.9296901292097682
CH65_d_4_1	858673	12898053	401520	0.9716405549105448
CH65_d_4_2	176098	2585047	163735	0.9440199256037854
CH65_d_4_3	200340	2485615	135735	0.9518958496503868
CH65_d_4_4	222832	1681343	125473	0.9381799208532712
CH65_d_5_1	752865	9136437	156710	0.9844007751533644
CH65_d_5_2	110069	1731543	193847	0.9047649694737158
CH65_d_5_3	108434	1818715	195549	0.9078771450295804
CH65_d_5_4	107948	1708977	295061	0.8602921610275825
CH65_d_6_1	1341564	19716266	626264	0.9711187380021504
CH65_d_6_2	73238	956399	215724	0.8267779382845617
CH65_d_6_3	76940	959217	305067	0.7725458238146649
CH65_d_6_4	127591	918167	575561	0.6450044685839122
CH65_d_7_1	1635061	20890953	386969	0.98311136529015
CH65_d_7_2	49358	672253	325779	0.6889611319565778
CH65_d_7_3	50545	702336	296013	0.7177855912990254
CH65_d_7_4	37294	508519	92836	0.8546368975759768
CH65_d_8_1	1119635	14317304	268935	0.9828767886460824
CH65_d_8_2	49313	512643	232837	0.7070469921098953
CH65_d_8_3	38203	374168	169413	0.708804298502537
CH65_d_8_4	62910	391337	156200	0.7441219303231894
CH65_d_9_1	1558335	19597429	351089	0.9836754824148376
CH65_d_9_2	42681	469105	224842	0.6947685941886542
CH65_d_9_3	22354	269812	78465	0.7882934778796161
CH65_d_9_4	10518	98001	82112	0.5692620822426573
CH65_d_0_1	955105	12635378	296018	0.9786830390175322
CH65_d_0_2	35239	481013	119798	0.8116531719204465
CH65_d_0_3	33707	398441	107579	0.8006788617208329
CH65_d_0_4	27735	182168	95328	0.6876857199956754
CH65_d_F_1	142506	1637667	85238	0.9543060483721818
CH65_d_F_2	164230	2603287	71700	0.9747465586462748
CH65_d_F_3	167328	2587242	76645	0.9729285836646104
CH65_d_F_4	129202	2241742	62432	0.9743434635666662
CH65_d_unsorted	704767	10883954	321479	0.9730080939027052
CH65_e_1_1	138754	2537104	82286	0.9701661697141266
CH65_e_1_2	488729	8011437	119464	0.9861404723868658
CH65_e_1_3	839046	6893142	106681	0.9863907663210087
CH65_e_1_4	485788	6829760	102394	0.9861964410074924
CH65_e_2_1	540824	10053582	139936	0.986963709559468
CH65_e_2_2	288201	5636192	113440	0.9812118023138434
CH65_e_2_3	358879	6865632	440667	0.942510532697349
CH65_e_2_4	351724	4462971	205068	0.959147872120656
CH65_e_3_1	941783	16572985	488604	0.9728604174817918
CH65_e_3_2	274395	2806022	232658	0.9297758125004716
CH65_e_3_3	418830	3242628	216701	0.944122713895949
CH65_e_3_4	278029	4019537	256823	0.9436097794896308
CH65_e_4_1	1051824	19934023	485987	0.977366302291644
CH65_e_4_2	143306	2587305	268208	0.91056212462306
CH65_e_4_3	105459	1499464	135553	0.9221172828582526
CH65_e_4_4	179902	2486709	266021	0.9092893346318256
CH65_e_5_1	1111053	20023363	365293	0.9830093979411536
CH65_e_5_2	143470	2069418	257368	0.8958132274549683
CH65_e_5_3	178488	1395208	220761	0.876976154903684
CH65_e_5_4	86971	1055313	123554	0.902393513229971
CH65_e_6_1	1275366	23339860	437006	0.982556204972076
CH65_e_6_2	69122	1222086	298386	0.812287917543725
CH65_e_6_3	78051	1382366	466825	0.7577756192527976
CH65_e_6_4	95357	1461382	249584	0.8618275911893941
CH65_e_7_1	1329691	25273015	369475	0.986301626850272
CH65_e_7_2	64651	907734	493701	0.6632523603663086
CH65_e_7_3	81068	617617	497096	0.5842917724901131
CH65_e_7_4	49143	617449	306837	0.6847874883530283
CH65_e_8_1	1380204	27132314	1296892	0.9564938722369882
CH65_e_8_2	43710	653018	444173	0.6106822590215979
CH65_e_8_3	41671	726149	481919	0.6143842834383819
CH65_e_8_4	25964	336574	215730	0.6269376828736849
CH65_e_9_1	1433777	26503074	474783	0.9832891343032224
CH65_e_9_2	29462	386810	334637	0.5543574521013864
CH65_e_9_3	58429	491676	226944	0.7079411980454257
CH65_e_9_4	35601	477656	261578	0.6624081256009344
CH65_e_0_1	1392906	28613060	500753	0.9835854848894108
CH65_e_0_2	19680	323236	293612	0.5387288540331298
CH65_e_0_3	13977	184735	142221	0.5828476562843726
CH65_e_0_4	21771	293221	291937	0.518993160649763
CH65_e_F_1	266567	6290428	250272	0.9632345844521744
CH65_e_F_2	265145	4836977	183215	0.9653352283875182
CH65_e_F_3	311613	2944581	155414	0.954445528325646
CH65_e_F_4	117285	1669359	71751	0.961390877612133
CH65_e_unsorted	696949	15937777	332869	0.9803820753618884
CH65_g_1_1	240053	5480099	309525	0.948666404518849
CH65_g_1_2	493639	10229915	385907	0.9652632112395012
CH65_g_1_3	679254	11295858	194757	0.983996787475691
CH65_g_1_4	524735	9485720	305912	0.9703469254244252
CH65_g_2_1	487352	8207810	435890	0.9522628936950528
CH65_g_2_2	930793	8625416	426406	0.957285140216266
CH65_g_2_3	632961	9226392	252185	0.9750596793484828
CH65_g_2_4	635515	11698131	491214	0.9616982953420156
CH65_g_3_1	474853	9782280	369309	0.9652462225832504
CH65_g_3_2	542155	10315731	566899	0.95037989773987
CH65_g_3_3	563638	7687679	283550	0.9667774553487476
CH65_g_3_4	588485	9900938	619157	0.9442631731508436
CH65_g_4_1	979841	5781034	234891	0.9664238340733524
CH65_g_4_2	815582	6407952	294963	0.960768355696624
CH65_g_4_3	527740	7773093	354797	0.9590096850258156
CH65_g_4_4	392012	7077824	598851	0.9257808612479328
CH65_g_5_1	553763	11013792	356660	0.9700894356567707
CH65_g_5_2	209713	2930917	176296	0.9468495830175288
CH65_g_5_3	366724	5186163	351026	0.940543500556326
CH65_g_5_4	336006	5669387	439720	0.9317746639973574
CH65_g_6_1	854348	12876755	343540	0.9755915656262116
CH65_g_6_2	389829	3166181	275490	0.9280986558788986
CH65_g_6_3	285237	3380896	158567	0.9585413235024968
CH65_g_6_4	342104	5298275	510927	0.9169400774404656
CH65_g_7_1	1146776	21846352	384800	0.9835400297237634
CH65_g_7_2	218897	3859486	608897	0.8700958764998037
CH65_g_7_3	269059	3951219	311242	0.931316202951769
CH65_g_7_4	220205	3575498	490037	0.885658719381017
CH65_g_8_1	1629238	25281085	654121	0.9762693925551336
CH65_g_8_2	253817	2180110	685050	0.7803606759524037
CH65_g_8_3	140751	1928866	424224	0.8298913202565841
CH65_g_8_4	138528	2088463	762980	0.7448202674875442
CH65_g_9_1	1474868	28177631	590438	0.9804768300115826
CH65_g_9_2	68379	1161027	399114	0.7549222607029695
CH65_g_9_3	41873	596677	232696	0.7329158469594121
CH65_g_9_4	79271	1216039	541727	0.705108280344925
CH65_g_0_1	1207274	19613635	344687	0.9837147510516596
CH65_g_0_2	205410	1869223	252319	0.8915667362283365
CH65_g_0_3	79613	1199812	254545	0.8340612919418241
CH65_g_0_4	123109	2209491	546592	0.8101578498412054
CH65_g_unsorted	602306	14571395	226559	0.9852886249972403
CH65_h_1_1	161922	2472388	143717	0.9482665215276884
CH65_h_1_2	431523	6683303	226972	0.9690849571181336
CH65_h_1_3	479642	8562550	393854	0.9582606952106848
CH65_h_1_4	476454	7413219	282210	0.9654657317046756
CH65_h_2_1	453937	4028121	230035	0.9511819906780278
CH65_h_2_2	342426	4423364	130329	0.9733811616915355
CH65_h_2_3	447340	8036764	481549	0.9462895786843412
CH65_h_2_4	419567	8519783	316121	0.965844958079389
CH65_h_3_1	325403	6981840	485537	0.9376939936710648
CH65_h_3_2	403785	6691280	270449	0.9632817207325924
CH65_h_3_3	369231	6449885	431905	0.940435284906774
CH65_h_3_4	476643	7747882	609483	0.9310071940165776
CH65_h_4_1	941698	9207683	572619	0.946594012311136
CH65_h_4_2	417046	6152189	351416	0.9492221179770516
CH65_h_4_3	364326	6651329	682646	0.9113251092676165
CH65_h_4_4	306037	5984951	516610	0.924112734036293
CH65_h_5_1	443804	9972132	375569	0.9651977180198684
CH65_h_5_2	349442	4115636	174781	0.9623305363374188
CH65_h_5_3	349980	6695278	523723	0.9308066700127798
CH65_h_5_4	323860	5941337	276794	0.957689639132796
CH65_h_6_1	1356378	13075267	250238	0.9829560009434756
CH65_h_6_2	260219	3952543	208194	0.9529074706918594
CH65_h_6_3	223395	4558496	447323	0.914456933680664
CH65_h_6_4	218251	4566187	240570	0.9521254493525184
CH65_h_7_1	430825	7837573	122931	0.985350234748274
CH65_h_7_2	164350	2722868	214028	0.9309864486725656
CH65_h_7_3	158875	3302806	315199	0.9165451377856856
CH65_h_7_4	176231	2493756	200480	0.930157706045741
CH65_h_8_1	1457257	13505714	198433	0.9869119640898693
CH65_h_8_2	54642	827529	102532	0.8958752029799848
CH65_h_8_3	83239	1599137	329640	0.8361643247369802
CH65_h_8_4	82040	1863294	225970	0.8959288980262552
CH65_h_9_1	1262986	28160939	387258	0.9870096399730264
CH65_h_9_2	53286	884656	180763	0.8384176346758082
CH65_h_9_3	53995	961955	374247	0.7307957073709698
CH65_h_9_4	69762	1040036	442893	0.714757797913429
CH65_h_0_1	2131628	21747583	445376	0.9816902955022422
CH65_h_0_2	16429	188927	283407	0.4201545534338728
CH65_h_0_3	43390	694592	531661	0.5812515801685986
CH65_h_0_4	15903	239526	408849	0.3845212396014921
CH65_h_unsorted	699693	17111921	6300	0.9996464232569536
